,Page,URL
0,1,https://www.thesun.co.uk/health/17121365/boris-johnson-booster-call-omicron/
1,1,https://www.thesun.co.uk/news/17120362/channel-migrants-tagged-black-market/
2,1,https://www.thesun.co.uk/health/17120419/boris-wont-announce-lockdown-before-christmas-omicron-weak/
3,1,https://www.thesun.co.uk/news/17110844/boris-johnson-christmas-new-years-eve-omicron/
4,1,https://www.thesun.co.uk/news/17113104/dont-send-out-new-years-eve-party/
5,1,https://www.thesun.co.uk/news/politics/17108435/boris-johnson-confirms-christmas-is-on/
6,1,https://www.thesun.co.uk/news/17100048/boris-johnson-covid-christmas-restrictions/
7,1,https://www.thesun.co.uk/news/politics/17092767/boris-johnson-warns-he-wont-hesitate-to-act/
8,1,https://www.thesun.co.uk/news/17075239/boris-johnson-warned-last-chance-by-election-defeat/
9,1,https://www.thesun.co.uk/news/17075482/no10-probe-christmas-lockdown-farce-inquiry-boss-had-bash/
10,2,https://www.thesun.co.uk/news/17064802/brits-choice-mates-or-christmas-with-families-omicron-soars/
11,2,https://www.thesun.co.uk/health/17052983/brits-pub-family-christmas-omicron-covid/
12,2,https://www.thesun.co.uk/news/17041352/covid-rebellion-boris-johnson-staff-shortages/
13,2,https://www.thesun.co.uk/health/17031512/new-years-parties-plans-tackle-omicron/
14,2,https://www.thesun.co.uk/health/17031393/pubs-restaurants-closed-entry-limits-omicron/
15,2,https://www.thesun.co.uk/news/17004710/tory-mps-demand-boris-johnson-quits/
16,2,https://www.thesun.co.uk/news/politics/16999390/lord-geidt-anti-sleaze-boris-johnson-more-evidence/
17,2,https://www.thesun.co.uk/news/16994412/covid-rules-plan-b-pub-boris-johnson/
18,2,https://www.thesun.co.uk/news/16982899/boris-johnson-rule-christmas-party/
19,2,https://www.thesun.co.uk/news/16969126/liz-truss-culture-wars-wokeness/
20,3,https://www.thesun.co.uk/news/16959416/johnson-biden-emergency-putin-russia-ukraine-invasion/
21,3,https://www.thesun.co.uk/news/16958598/boris-johnson-arthur-killers-die-in-prison/
22,3,https://www.thesun.co.uk/news/16925606/michelle-mone-racist-slur-indian-man/
23,3,https://www.thesun.co.uk/news/politics/16923201/boris-warned-he-risks-break-up-of-union/
24,3,https://www.thesun.co.uk/news/16901195/boris-johnson-not-to-cancel-christmas-covid/
25,3,https://www.thesun.co.uk/news/16900735/liz-truss-margaret-thatcher-british-warn-russia/
26,3,https://www.thesun.co.uk/health/16894164/boris-johnson-pop-up-booster-centres-omicron-christmas/
27,3,https://www.thesun.co.uk/news/16890422/keir-starmer-labour-shadow-cabinet-reshuffle/
28,3,https://www.thesun.co.uk/news/16889955/schools-jabs-covid-omicron/
29,3,https://www.thesun.co.uk/news/politics/16884205/labour-botches-another-reshuffle/
30,4,https://www.thesun.co.uk/health/16878874/omicron-covid-strain-225-cases-likely/
31,4,https://www.thesun.co.uk/news/16854451/dozens-more-migrants-arrived-uk-amid-political-bickering/
32,4,https://www.thesun.co.uk/news/16852654/rishi-raged-at-boris-over-huge-spending-promises-during-budget-talk/
33,4,https://www.thesun.co.uk/news/16840961/cabinet-rishi-sunaks-chief-aide/
34,4,https://www.thesun.co.uk/news/16841044/boris-johnson-accuses-french-migrant-smugglers-murder/
35,4,https://www.thesun.co.uk/news/16830503/labour-do-nothing-in-future-referendum-northern-ireland/
