,Type,Publication,Text,Type and Publication,Text Length
0,Real,The Sun,"CHANNEL migrants could be electronically tagged when they land in Britain, we can reveal. The tough new measure aims to crack down on black market work and deter people from making the dangerous crossing. It is being drawn up as ministers have privately accepted there is no short-term fix to the influx of small boats. Economic migrants and asylum seekers of working age would be electronically tagged and subject to restrictions on their movements while their applications to stay in Britain are processed. Plans being drawn up between the Home Office and a new Cabinet Office taskforce to tackle the issue are also looking at the possibility of curfews. It is thought that more than a million illegal immigrants are currently working in Britain, meaning many more prefer to come here rather than stay in the EU where ID cards are required for jobs. Last month France's interior minister Gerald Darmanin said that Britain must ""limit its economic attractiveness"". He insisted Paris would not be ""held hostage"" and called for a clampdown on illegal workers in the UK. He previously suggested migrants are ""attracted by England, especially the labour market which means you can work in England without any identification"". Yesterday a Home Office source said the proposal was ""a low cost, high impact way to make changes quickly"". The source said the tag plan was ""in part to stop the pull factor, and part to stop people absconding while their claims to stay are being processed"". They added: ""Illegal entry isn't a punishment-free crime. Tagging will make it quicker and easier to deport those who have no right to be here."" It has been a record year for small boat crossings. More than 27,000 people have so far reached the UK from France compared to around 8,000 last year. On Monday, authorities rescued or intercepted 82 people on three boats while the French stopped 86 on four boats. Another 82 tried to cross on Tuesday and more than 100 yesterday. Tom Pursglove, minister for tackling illegal migration, said: ""The Nationality and Borders Bill will make it a criminal offence to knowingly arrive in the UK illegally and introduce life sentences for those who facilitate illegal entry.""",Real Sun,367.0
1,Real,The Sun,"PM Boris Johnson has been warned he is drinking in the last-chance saloon after his party's huge by-election defeat. The Conservatives lost the once ultra-safe seat of North Shropshire for the first time in 200 years in the wake of sleaze scandals and Christmas party rows. Jubilant Liberal Democrats wiped out the 23,000 majority to seize the seat with their own 6,000 margin after it was vacated by the disgraced ex-Cabinet Minister Owen Paterson. Lib Dem candidate Helen Morgan took the seat with 17,957 votes, pushing Tory Neil Shastri-Hurst into second place on 12,032 — with a 34 per cent swing against him. That is the fourth largest swing in a by-election in the past 30 years. The Tories' thumping was the seventh biggest upset in a by-election since World War Two. But the Prime Minister took ""full responsibility"" for the defeat and vowed to kick-start his faltering Downing Street operation after weeks of torrid headlines and scandals. He acknowledged he needed to fix the anger over No10 parties and the controversy of his Downing Street refurbishment. But he insisted a ""constant litany of stuff about politics and politicians"" had overshadowed the Government's successes, such as the rapid roll-out of the Covid booster jab campaign. He told reporters: ""I've got to put my hands up and say, 'Have I failed to get that message across in the last few weeks? Has it been obscured by all this other stuff?' Yes, I'm afraid it has."" But last night Mr Johnson's Tory enemies spoke out to declare he was one strike away from being ousted. Devout Remainer Sir Roger Gale said: ""I think this has to be seen as a referendum on the Prime Minister's performance — and I think that the Prime Minister is now in last orders time."" The Kent MP added: ""One more strike and he's out."" Sir Charles Walker, vice-chairman of the 1922 Committee of Tory backbenchers, said a leadership contest would be completely self-indulgent — but added Mr Johnson had a year at most to make a difference. He told Times Radio: ""The Prime Minister has got weeks, months, a year to sort himself out. If we go on making unforced errors over the next three to six months or nine months, it will become a lot more serious. It's serious now, but it's not at a critical level yet."" Sir Geoffrey Clifton-Brown, the treasurer of the 1922 Committee, said it was not the time for a ""big blame game"" but that Mr Johnson needed to stop the ""self-inflicted own goals"". However, it was not just the old guard who were calling for Mr Johnson to get a grip. North West Durham MP Richard Holden — who sensationally won the mining community for the Tories in 2019 — warned support for Mr Johnson was not unconditional. Boris faces a tough few months, with the soaring cost of living, threat of future Covid restrictions and biting tax rises next April. The PM's allies are braced for a leadership crisis after potentially painful local elections in May. The Tories hit a historic high in council seats last fought in 2019 under then PM Theresa May. But they risk of losing thousands of council seats next spring at a time described as the ""moment of maximum danger"" for the PM. This has to be seen as a referendum on the Prime Minister's performance — and I think that the Prime Minister is now in last orders time. Last night, ex-Scottish Tory leader Baroness Ruth Davidson — a long standing critic of the PM — said he was drinking in the last chance saloon and had been ""put on warning by his MPs"". She said the party was looking for him to sharpen the operation at No10. And she warned it was time ""for a bit of bloody grip to be exerted"" if he wanted to stay in Downing Street.",Real Sun,649.0
2,Real,The Sun,"DOWNING Street's probe into Christmas lockdown breaking collapsed into farce last night as the chief inquisitor QUIT after it emerged his own staff had a party last December. Cabinet Secretary Simon Case stepped down from investigating the slew of allegations that No10 staff flouted lockdown rules by boozing and playing party games last Christmas. Boris Johnson had tasked Whitehall's most senior civil servant to look into the claims, but last night they were hit by fresh allegations that Mr Case's own team had flouted Tier 3 rules last year. The Cabinet Office admitted that six members of his team had bought booze and snacks into the office on 17 December 2020 and took part in a virtual quiz with other colleagues from their desk. Email invites were sent in advance called it ""Christmas party!"" - coming the night before Mr Johnson's own team were accused of a boozy wine and cheese knees-up. Mr Case admitted he was aware of the social gathering that Labour claims appears to have broken the strict rules against social gatherings in place in London at the time. But the top mandarin denied other claims that a bigger party had taken place in his vast suite of offices in the heart of Whitehall. Last week Boris Johnson had tasked Mr Case with probing claims No10 staff had broken the rules. When asked if the Cabinet Secretary had been at any social gatherings, the PM's spokesman insisted: ""You can be assured due diligence will have been observed."" Last night one top minister branded the latest twist in the saga ""f***ing amateur hour."" Whitehall's former top sleazebuster Sue Gray was last night drafted in to take over the probe. The official served as head of the Government's ethics team for five years and has a fearsome reputation as a no-nonsense street-fighter. A statement said: ""To ensure the ongoing investigation retains public confidence the Cabinet Secretary has recused himself for the remainder of the process."" Labour said there was ""growing evidence of a culture of turning a blind eye to the rules.""",Real Sun,343.0
3,Real,The Sun,"MISERABLE Whitehall officials have drawn up plans to restrict numbers in pubs and restaurants and even close them down in the coming weeks. There are growing fears of further restrictions after Christmas as Omicron is expected to peak in January, with New Year parties in grave doubt. A government source said: ""You will be able to see your family at Christmas, but at this rate, you might not be able to do it in a pub. ""As for New Year's Eve, that is a different story."" But MPs privately warn they will torpedo any attempts to bring in former restrictions like the Rule of Six or a ban on household mixing. Health Secretary Sajid Javid insisted there were ""no plans"" for any more measures, as the Omicron variant was poised to become the dominant strain of Covid in London and it claimed its first victim. More than one in five Tory MPs will vote against Boris Johnson tomorrow night as a brutal rebellion on vaccine passports hit 80. One ex-minister told The Sun that Tuesday night's vote is a ""show of force"". No10 vowed to crack on with the vote despite the PM's majority being wiped out - amid dire warnings of a bigger backlash at any attempt at ""Plan C"" restrictions. But Covid certification for nightclubs, mega-bars and stadiums is expected to sail through the Commons with the backing of Sir Keir Starmer's Labour. Yet Mr Johnson sparked further Tory jitters by refusing to say three times that there will not be further measures introduced before Christmas. Deputy PM Dominic Raab today insisted Brits will be able to ""enjoy"" the festive period with their families but also wouldn't rule out new restrictions. Asked about the possibility of new curbs on pubs and restaurants such as capacity limits, he admitted: ""These issues are always discussed. But he added: ""We have got Plan B, that's what we think is required over the Christmas period. ""I think people can look forward to spending Christmas with loved ones in a way that we couldn't last year."" Mr Raab also defended vaccine passports saying fears about them have been ""overstated"" and they're not the start of a ""slippery slope"" of restrictions. He said that he would be ""very surprised"" if 80 Tory MPs rebel against No 10 over their introduction in tonight's crunch vote. The number expected to rebel in the Commons far outweighs the 56 MPs required to trigger an internal confidence vote in the PM - but falls short of the 181 needed to defeat him. A senior MP said: ""They may be able to get stuff through on Labour votes, but if they push things too far I have no doubt it would be curtains."" Meanwhile leading Tory rebel Marcus Fysh was slammed after comparing the planned coronavirus health passes being introduced to limit the spread of Omicron to atrocities in Nazi Germany. The Board of Deputies of British Jews called his remarks ""completely unacceptable"". Mr Fysh argued that the passes, which can be acquired by being fully vaccinated or receiving a negative lateral flow result, would be ""segregating society based on an unacceptable thing"". ""We are not a 'papers please' society. This is not Nazi Germany,"" he said. ""It's the thin end of an authoritarian wedge and that's why we will resist it."" Despite his opposition to being a ""papers please"" society, Mr Fysh voted in September for the Government's Elections Bill which will introduce photographic identification for voting.",Real Sun,579.0
4,Real,The Sun,"BORIS Johnson is facing a growing Tory mutiny as the party's newbies unite with old guard MPs to warn the PM to ""get a grip"". Five MPs from the 2019 intake are now thought to have written letters to demand Mr Johnson quits. It comes after a torrid week for the PM, engulfed in Christmas Party fury and the ongoing wallpaper-gate saga. Yesterday, Mr Johnson was in frantic talks with his anti-sleaze adviser, who demanded evidence to explain discrepancies in the PM's story about the No 10 flat redecoration. Lord Geidt, the PM's independent adviser on standards, probed the spruce-up earlier this year. But new evidence has emerged that Mr Johnson may have known the true source of decorating donations earlier than he claimed. Lord Geidt is said to be ""furious and humiliated"". And last night he was understood to be considering relaunching the probe. Meanwhile, Mr Johnson's senior spin doctor, Jack Doyle, offered to resign over the ongoing row after last year's lockdown-breaking wine and cheese event for No 10 staff. Adviser Allegra Stratton has already quit over the do after a mocking video was leaked. It comes as the PM's personal rating fell by 11 points in less than a month — with YouGov finding his approval score at a new low of -41. MPs have been spotted going to see backbench boss Sir Graham Brady to demand a leadership election. Last week The Sun reported as many as a dozen Tory MPs want a change of leader, still far short of the 56 required to formally trigger a contest. But one angry minister hit back at the Tory newbies, saying: ""It doesn't take long before these kids forget who got them their seat."" Ex-Tory chief whip Andrew Mitchell has urged the PM to get a grip to keep his job. He told Times Radio: ""I hope he will still be Prime Minister in a year — but if Downing Street don't get a grip and start to deliver the governance many of my colleagues are talking about openly, then the PM will be in considerable trouble.""",Real Sun,347.0
5,Real,The Sun,"WHITEHALL's top anti-sleaze boss has demanded new evidence to explain ""discrepancies"" in Boris Johnson about the Downing Street flat redecoration. Lord Geidt, the PM's independent adviser on standards, probed the flat-gate scandal earlier this year - but now Mr Johnson has been accused of lying about when he knew the true source of decorating donations. The former Buckingham Palace aide is said to be furious and humiliated and has demanded No10 comes up with answers quickly as he considers REOPENING his probe into the saga. Yesterday the Tories were fined thousands of pounds for breaking donation rules over the No11 flat renovations. In an unexpected bodyblow in a week of chaos for the PM, the Electoral Commission rapped them for failing to report how cash was spent on Boris and Carrie's gold £112,549 wallpaper flat renovations. The watchdog said the Tories had failed to ""accurately report a donation and keep a proper accounting record"" of the money handed over by Tory peer Lord Brownlow in October 2020. The PM borrowed more than £52,000 for the refurb, paid for via a party loan from Lord Brownlow. Earlier this year the PM said he had no idea who was behind the cash for it, but yesterday's watchdog report revealed he Whatsapped the peer asking for more cash to help redo the flat where he lives with his wife Carrie and two kids. No10 said he was asking for extra cash for the Downing Street trust, but that he had no idea where the money was coming from. They insisted Mr Johnson had been honest and followed the rules ""at all times"", denying he had lied to his standards chief over what he knew. In May, his independent adviser on standards, Lord Geidt, cleared him of a conflict of interest. Labour's Angela Rayner accused the PM of outright lying in his testimony to the standards chief. She raged: ""The Prime Minister must now explain why he lied to the British public saying he didn't know who was behind No 11 flat refurb - all the while he was WhatsApping the donor asking for more money. ""Boris Johnson has taken the British public for fools. He's not only broken the law but made a mockery of the standards we expect from our prime ministers."" Mr Johnson hit back last night, saying voters can kick him out at the next election if they don't like him. He told an event: ""They have every right to cast us down and out again.""",Real Sun,414.0
6,Real,The Sun,"BORIS Johnson imposed dramatic Plan B virus rules yesterday — as the Tories faced a backlash over last year's No10 Christmas party. The Grinch PM was accused of ""one rule for them, one for us"". Senior Tory Mark Harper fumed: ""Why should people listen to his instructions to follow the rules when people inside Number 10 Downing Street don't do so?"" The PM told Brits to work from home again if they can and wear masks at most indoor public venues, while ordering vaccine passports and contact testing for Omicron. He apologised for the 2020 lockdown-breaking party, and top aide Allegra Stratton quit in tears after footage showed her joking with staff over the bash. Speaking at Downing Street, the PM said he had no choice but to impose new curbs. Statistics now show 568 Brits infected with Omicron, but scientists say 10,000 have the bug. Gloomy ministers believe infection rates will soar to one million by the end of the month. Tories slammed the ""tyrannical"" measures and said fed-up Brits cannot be expected to stick to rules when Downing Street staff do not. MP Greg Smith said: ""We are being encouraged to go to (our own) Christmas parties while being told to avoid the office at all costs. These rules are absurdly baffling to even the most authoritarian lockdown supporter."" Privately Tory MPs accused the PM of rushing the Plan B decision to distract from the row over the No10 party. One said: ""It is ridiculous. It is no way to run a country."" MPs claimed Mr Johnson had undermined the rollout of his Plan B restrictions by wrecking public confidence in Covid rules. But he insisted he knew nothing of last year's bash at No 10 and launched an internal inquiry into whether aides and civil servants had broken the law with their cheese and wine bash. Despite complaints from Labour MPs, the Met Police last night said they would not investigate the alleged breach of rules due to an ""absence of evidence"". Earlier Mr Johnson told MPs he was furious about leaked footage showing aides laughing and discussing the 2020 soiree on December 18 when London was under Tier 3 measures. Ms Stratton, 41, was filmed taking part in a mock press conference in preparation for televised briefings when she joked about the event. But yesterday in a tearful statement, she offered her ""profound apologies"" and said she will ""regret those remarks for the rest of my days"". Mr Johnson has been dogged for a week by questions over staff breaking lockdown rules, but he has repeatedly insisted he had been assured no rules were broken. Yet after the bombshell video leak, he finally admitted he had based his position on assurances from ""respected civil servants and special advisers"". Mr Johnson then asked Cabinet Secretary Simon Case ""to establish all the facts and to report back as soon as possible"". The PM added: ""It goes without saying that if those rules were broken, then there will be disciplinary action for all those involved. ""I understand and share the anger up and down the country at seeing No 10 staff seeming to make light of lockdown measures because I was also furious to see that clip. ""I apologise unreservedly for the offence that it has caused."" Labour leader Sir Keir Starmer said the PM's apology ""raises more questions than answers"" as he had been ""caught red-handed"". Scottish Tory leader Douglas Ross said Mr Johnson should quit if he is found to have misled Parliament.",Real Sun,585.0
7,Real,The Sun,"CULTURE wars and woke attacks on Britain are a gift to our enemies, Liz Truss will declare. Endless bickering over how bad the UK is makes us a laughing stock to adversaries and gives hostile states like China and Russia an advantage, the Foreign Secretary will add. She will tell the most senior diplomats that the UK has been too naval gazing since the Berlin Wall fell and it is time to ""step forward, be proud of who we are and what we stand for, ready to shape the world anew"". It comes as tensions with Russia mount over Ukraine. Ms Truss will tell the Chatham House think tank today: ""In recent years the free world took its eyes off the ball. ""After the collapse of communism, many were convinced it was the end of history, confident that freedom and democracy would go global. ""People turned inwards. It's time to wake up. The age of introspection must end now. ""We need to believe in Britain and project the best of Britain to the world. ""I want us to be confident, outward-looking, patriotic and positive and to be proud of our great country."" She plans to closer partnerships with allies like Japan, Australia, Canada, Indonesia and India across trade, tech and security. An ally said: ""Liz thinks we need to spend less time quarrelling among ourselves and more on promoting freedom and winning the battle for global influence against bad guys.""",Real Sun,240.0
8,Real,The Sun,"BORIS Johnson and Joe Biden were set for emergency talks last night as fears Russia will invade Ukraine soared. The call between the US and UK, and Nato allies France, Italy and Germany came as the US President warned Vladimir Putin that retaliation with sanctions would be swift if he crossed the border by force. The Russians have massed 70,000 troops on the frontier with Ukraine, with the US claiming they are poised to attempt to annex the former Soviet satellite state. Mr Johnson's spokesman warned Russia to de-escalate tensions. And the White House said they could even deploy troops to the region in support of Nato. An official promised ""additional forces and capabilities and exercises to ensure the safety and security of our eastern flank allies in the face of aggression in Ukraine."" They added: ""We have had intensive discussions with our European partners about what we would do in the event of a major Russian military escalation in Ukraine. ""We have a path involving substantial economic countermeasures, by both the Europeans and the United States, that would impose severe harm on the Russian economy."" Last week Liz Truss held ""robust"" talks with her Moscow counterpart. Her spokesman said: ""The Foreign Secretary expressed concern about rising tensions across Europe, and restated the UK's support for Ukraine's sovereignty and territorial integrity, urging the Russian government to de-escalate the situation.""",Real Sun,229.0
9,Real,The Sun,"TORY peer and ex-bra tycoon Michelle Mone was at the centre of a racism row last night over claims she abused an Indian man and called his wife a ""loony"". She is said to have hit out in WhatsApp messages after a Monaco yacht crash in June 2019. An anonymous man of Indian heritage told The Guardian he made a formal complaint alleging she called him ""a waste of a man's white skin"". But the House of Lords watchdog said it could not investigate because the incident fell outside of parliamentary duties. Last night her lawyers said it was ""inconceivable"" she would make such a comment. A spokesman insisted: ""Baroness Mone is 100 per cent not a racist. ""She and her husband have built over 15 schools in Africa in the past three years.""",Real Sun,134.0
